EventID,EventName,TriggerCategory,CardType,DayRequirement,EventText,Weight
EVT_FOOD_001,Lunch Time,FOOD,Meal,1-7,It's lunch time. What should you eat?,10
EVT_FOOD_002,After School Hunger,FOOD,Snack,2-7,You're hungry after school. What's for snack?,8
EVT_FOOD_003,Dinner Decision,FOOD,Meal,1-7,Dinner time. Cook or buy?,9
EVT_FOOD_004,Weekend Treat,FOOD,Treat,5-7,Weekend coming. Fancy treating yourself?,6
EVT_FOOD_005,School Event,FOOD,SchoolEvent,2-6,Free food at school event but limited choice.,5
EVT_FOOD_006,Friend Bday Lunch,FOOD,SocialMeal,3-6,Friend wants to celebrate with lunch.,4
EVT_FOOD_007,Breakfast Craving,FOOD,Meal,1-5,Breakfast at cafe or simple food at home?,7
EVT_FOOD_008,Late Night Study,FOOD,Snack,3-7,Late night study session. Need food?,5
EVT_TRANS_001,Getting to School,TRANSPORT,Commute,1-7,How will you get to school today?,10
EVT_TRANS_002,After Class Plans,TRANSPORT,Commute,2-7,Need to get home or go elsewhere?,8
EVT_TRANS_003,Unexpected Trip,TRANSPORT,EmergencyTravel,3-6,Emergency errand. How will you travel?,6
EVT_TRANS_004,Far Away Event,TRANSPORT,LongTrip,4-7,Event far from home. Transportation?,5
EVT_TRANS_005,Bad Weather,TRANSPORT,WeatherTravel,2-7,Rainy day. Walk or take transport?,7
EVT_TRANS_006,Weekend Outing,TRANSPORT,WeekendTravel,5-7,Planning weekend. How to get there?,6
EVT_TRANS_007,Getting Around Town,TRANSPORT,Errand,1-7,Running errands around town today.,8
EVT_TRANS_008,Tuition Class,TRANSPORT,TuitionTravel,2-6,Tuition class. Travel cost to consider.,5
EVT_LEIS_001,Friend Hangout,LEISURE,FriendHangout,1-7,Friends want to hang out. Join them?,10
EVT_LEIS_002,Weekend Fun,LEISURE,WeekendFun,5-7,Weekend. What should you do for fun?,8
EVT_LEIS_003,Movie Time,LEISURE,MovieTime,3-7,Cinema is showing a new movie. Interest?,7
EVT_LEIS_004,Game Session,LEISURE,Gaming,2-7,Friends gaming. Want to join or buy in?,6
EVT_LEIS_005,Sports Event,LEISURE,SportsEvent,4-7,School sports event. Tickets or cheer free?,5
EVT_LEIS_006,Social Pressure,LEISURE,FriendHangout,1-7,Group chat: everyone is going out. You too?,8
EVT_LEIS_007,Hobby Time,LEISURE,Hobby,2-6,Time for hobby. Spend on supplies?,5
EVT_LEIS_008,Class Celebration,LEISURE,ClassCelebration,3-6,Class organizing celebration. Contribute?,6
EVT_SAV_001,Savings Reminder,SAVINGS,SavingsAction,1-7,Thinking about your savings goal today?,9
EVT_SAV_002,Near Goal,SAVINGS,NearGoal,4-7,You are close to your savings goal!,6
EVT_SAV_003,Emergency Fund,SAVINGS,EmergencyFund,2-7,Should you build an emergency fund?,7
EVT_SAV_004,Temptation Test,SAVINGS,Temptation,3-7,Big spending temptation. Stick to plan?,8
EVT_SAV_005,Week Checkpoint,SAVINGS,Checkpoint,4-7,Mid-week check. How is savings going?,8
EVT_SAV_006,Reward Yourself,SAVINGS,Reward,5-7,Made it far. Small reward justified?,5
