CardType,Use For,Notes
Generic,Any event in the same category,Safe fallback when fewer than 3 exact cards exist
Meal,"Food events for breakfast, lunch, dinner",Broad enough to avoid over-mapping every event
Snack,Food events for after-school hunger or study sessions,Keeps snacks separate from meals
Treat,Food events for planned indulgences,Prevents weekend treats appearing in normal lunch prompts
SchoolEvent,Food connected to school events,Useful for free/limited school food prompts
SocialMeal,Food connected to friends or celebrations,Keeps social spending separate from normal meals
Commute,Transport to/from school or home,Daily travel decisions
EmergencyTravel,Urgent or unexpected transport,Use for taxis/urgent rides
LongTrip,Far locations or events,MRT/school bus style options
WeatherTravel,Rainy day transport decisions,Avoids sunny-day travel cards
WeekendTravel,Weekend outing transport,Prevents holiday/free travel cards appearing on school commute
Errand,Running errands around town,Short practical trips
TuitionTravel,Tuition-specific travel,Repeat study-related travel
FriendHangout,Casual social leisure,Group chat/friend outing prompts
WeekendFun,Weekend leisure choices,Beach/concert/museum type options
MovieTime,Movie/cinema leisure,Cinema-specific prompt
Gaming,Gaming-related leisure,Arcade/online gaming choices
SportsEvent,Sports event leisure,Ticket vs free support choices
Hobby,Hobby or self-development leisure,Book club/supplies
ClassCelebration,Class event or celebration,Gift/class gathering choices
SavingsAction,Normal savings decisions,Move/found/earn/save actions
NearGoal,Close-to-goal savings decisions,Protect savings near target
EmergencyFund,Emergency savings decisions,Build/use buffer
Temptation,Impulse-control savings decisions,Pause/no-spend choices
Checkpoint,Reflection/check-in savings decisions,Weekly progress check
Reward,Planned reward decisions,Small reward without breaking budget
